restaurant_id,name,category,style,latitude,longitude,suburb,price_range_AUD,dine_in,google_rating,uber_rating,platforms,opening_hours
R000027,Urban Eatery,Fast Food,Fine Dining,-33.91024064,151.22888312,RANDWICK,19,no,4.1,4.3,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000028,Red Deli,Mediterranean,Fine Dining,-33.87129676,151.19611737,PYRMONT,40,yes,4.0,5.0,"Menulog,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000029,Hidden Nook,Bar,Fine Dining,-33.92373428,151.24765254,RANDWICK,33,yes,3.6,4.6,"Deliveroo,Menulog",Mon-Sun 07:00-21:00
R000030,Urban Table,Cafe,Family,-33.90993043,151.16799657,MARRICKVILLE,26,no,4.5,3.4,DoorDash,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000031,Sweet House,Mexican,Cafe,-33.93350377,151.19024805,MASCOT,34,no,3.8,4.6,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000032,Cozy Nook,Fast Food,Fine Dining,-33.92515227,151.2344874,KINGSFORD,34,yes,4.1,4.4,DoorDash,Mon-Sun 07:00-21:00
R000033,Green Room,Italian,Takeaway,-33.94328408,151.1894563,MASCOT,34,yes,4.2,4.1,"DoorDash,Deliveroo",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000034,Happy Room,Chinese,Fine Dining,-33.9211938,151.22711647,KINGSFORD,57,yes,4.3,3.8,DoorDash,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000035,Royal House,Bakery,Cafe,-33.90001554,151.20249477,WATERLOO,61,yes,5.0,3.0,DoorDash,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000036,Green Cafe,Cafe,Street Food,-33.88931759,151.19552029,DARLINGTON,15,yes,4.3,4.5,"UberEats,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000037,Blue Corner,Mediterranean,Fusion,-33.88311818,151.1923521,GLEBE,8,no,3.3,2.7,UberEats,Mon-Sun 07:00-21:00
R000038,Red Spoon,Modern Australian,Street Food,-33.96178121,151.1792648,MASCOT,19,yes,4.6,3.3,"UberEats,Menulog,InHouse",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000039,Spicy Bistro,Japanese,Takeaway,-33.89325452,151.24114565,CENTENNIAL PARK,33,yes,4.8,3.6,UberEats,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000040,Blue Room,Vietnamese,Takeaway,-33.92278374,151.19215877,MASCOT,15,no,4.4,4.4,"InHouse,Menulog",Mon-Sun 10:00-22:00
R000041,Silver Table,Mediterranean,Bar,-33.93521851,151.1793109,MASCOT,27,yes,4.1,4.3,"UberEats,InHouse",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000042,Silver Spoon,Japanese,Casual,-33.92465302,151.24400187,RANDWICK,21,yes,3.7,3.2,Deliveroo,Mon-Sun 07:00-21:00
R000043,Royal Deli,Fast Food,Cafe,-33.91234374,151.18343643,ALEXANDRIA,51,yes,3.0,4.3,Menulog,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000044,Spicy Corner,Fast Food,Fusion,-33.87009212,151.16242367,LILYFIELD,11,yes,4.3,4.3,Menulog,Mon-Sun 07:00-21:00
R000045,Lucky Table,Vietnamese,Street Food,-33.8837905,151.1666419,ANNANDALE,11,yes,3.6,3.4,"InHouse,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000046,Local Bistro,Indian,Bar,-33.9222404,151.16031851,TEMPE,20,no,3.9,3.9,"DoorDash,UberEats",Mon-Sun 07:00-21:00
R000047,Happy Grill,Bar,Cafe,-33.95386778,151.17539352,MASCOT,10,yes,4.4,3.1,"DoorDash,Deliveroo",Mon-Sun 10:00-22:00
R000048,Silver Corner,Indian,Fusion,-33.92120114,151.18734696,MASCOT,19,yes,4.7,4.2,"InHouse,Menulog",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000049,Blue Deli,Japanese,Cafe,-33.88206772,151.24446976,DOUBLE BAY,20,yes,4.6,4.1,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000050,Sizzle Spoon,Mexican,Fine Dining,-33.85643165,151.17756808,BALMAIN,9,yes,5.0,3.0,"DoorDash,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000051,Silver Eatery,Vietnamese,Bar,-33.92215922,151.22689415,KINGSFORD,45,yes,4.9,3.9,"Menulog,DoorDash,Deliveroo",Mon-Sun 10:00-22:00
R000052,Local Corner,Mediterranean,Bar,-33.87413136,151.24188997,DOUBLE BAY,10,no,5.0,4.3,InHouse,Mon-Sun 07:00-21:00
R000053,Urban Fork,Seafood,Fine Dining,-33.91991706,151.16870284,ST PETERS,23,yes,4.4,2.3,Deliveroo,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000054,Blue Plate,Bakery,Street Food,-33.87983771,151.21698243,DARLINGHURST,64,yes,5.0,4.2,"UberEats,InHouse",Mon-Sun 10:00-22:00
R000055,Green Plate,Cafe,Fine Dining,-33.90519334,151.14930175,MARRICKVILLE,9,yes,4.1,4.3,"Deliveroo,Menulog",Mon-Sun 07:00-21:00
R000056,Lucky Table,Fast Food,Cafe,-33.95525203,151.17778871,MASCOT,22,yes,4.8,4.0,"Deliveroo,UberEats",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000057,Sweet Cafe,Vegetarian,Fusion,-33.87441074,151.17922816,GLEBE,15,yes,4.1,3.8,"UberEats,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000058,Local Corner,Bakery,Casual,-33.90609721,151.18396334,ERSKINEVILLE,45,yes,4.3,3.9,UberEats,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000059,Royal House,Vietnamese,Family,-33.91481006,151.15670601,MARRICKVILLE,14,yes,4.0,4.0,Menulog,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000060,Green Table,Fast Food,Fine Dining,-33.93017697,151.16842917,MASCOT,9,no,4.1,4.3,"InHouse,DoorDash,Deliveroo",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000061,Royal Eatery,Fast Food,Fusion,-33.88060658,151.18973907,GLEBE,41,no,4.3,3.6,"Menulog,DoorDash",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000062,Spicy Garden,Thai,Takeaway,-33.89021505,151.23208808,CENTENNIAL PARK,66,yes,3.5,3.4,"Menulog,Deliveroo",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000063,Golden Deli,Vietnamese,Cafe,-33.93444476,151.18436936,MASCOT,28,yes,4.3,5.0,Menulog,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000064,Silver Nook,Bar,Fine Dining,-33.87434052,151.17651932,ANNANDALE,79,yes,4.8,4.9,"InHouse,Menulog",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000065,Cozy Plate,Mexican,Casual,-33.88007046,151.14761361,LEICHHARDT,53,yes,3.6,3.7,"InHouse,Menulog,Deliveroo",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000066,Cozy Deli,Bar,Bar,-33.89297069,151.24386408,BONDI JUNCTION,39,yes,5.0,4.9,"UberEats,Menulog",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000067,Happy Cafe,Bar,Fine Dining,-33.93101424,151.24932392,RANDWICK,38,no,4.5,3.7,"Menulog,InHouse",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000068,Blue House,Italian,Fine Dining,-33.86540953,151.19405958,PYRMONT,55,yes,3.8,5.0,DoorDash,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000069,Cozy Eatery,Seafood,Takeaway,-33.91272197,151.21330731,KENSINGTON,8,no,3.7,4.4,Menulog,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000070,Salted Eatery,Bakery,Takeaway,-33.87621026,151.20652761,SYDNEY,29,no,3.8,3.1,"Menulog,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000071,Local Cafe,Korean,Casual,-33.87197848,151.19953584,SYDNEY,25,no,5.0,3.0,"Menulog,UberEats,DoorDash",Mon-Sun 07:00-21:00
R000072,Red Room,Japanese,Takeaway,-33.86214916,151.16605795,ROZELLE,32,yes,3.9,3.1,"Deliveroo,Menulog",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000073,Silver Deli,Korean,Bar,-33.9297169,151.24992285,RANDWICK,49,no,4.1,4.1,"Menulog,UberEats",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000074,Hidden Table,Korean,Fusion,-33.91733844,151.14391088,MARRICKVILLE,26,yes,4.2,3.6,Menulog,Mon-Sun 07:00-21:00
R000075,Hidden Eatery,Chinese,Bar,-33.91506082,151.24876293,RANDWICK,39,yes,4.6,4.5,"Menulog,Deliveroo",Mon-Sun 07:00-21:00
R000076,Lucky Cafe,Modern Australian,Fine Dining,-33.89713819,151.20003433,WATERLOO,49,yes,3.7,3.9,DoorDash,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000077,Lucky Eatery,Indian,Bar,-33.91272835,151.1641838,MARRICKVILLE,26,yes,4.3,3.9,"InHouse,Deliveroo",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000078,Green Plate,Cafe,Fine Dining,-33.89341399,151.19699108,EVELEIGH,20,no,4.3,3.8,UberEats,Mon-Sun 10:00-22:00
R000079,Hidden Fork,Thai,Family,-33.89075386,151.24842667,BONDI JUNCTION,18,yes,4.2,4.4,InHouse,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000080,Hidden Grill,Bakery,Takeaway,-33.87082581,151.22882173,ELIZABETH BAY,15,yes,4.8,3.4,InHouse,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000081,Royal Eatery,Cafe,Fusion,-33.86050879,151.17008742,ROZELLE,31,no,4.4,4.6,UberEats,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000082,Lucky House,Cafe,Fine Dining,-33.92438828,151.2405083,RANDWICK,79,yes,3.2,2.7,"Menulog,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000083,Urban Bistro,Thai,Casual,-33.92267216,151.21054886,ROSEBERY,45,yes,3.5,3.7,"DoorDash,Deliveroo,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000084,Lucky Table,Japanese,Casual,-33.93022473,151.18117897,MASCOT,30,yes,4.5,3.8,Deliveroo,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000085,Blue Eatery,Modern Australian,Takeaway,-33.86735889,151.19089496,PYRMONT,41,yes,3.4,4.3,"UberEats,InHouse",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000086,Cozy Bistro,Vietnamese,Bar,-33.9157121,151.15322837,MARRICKVILLE,45,yes,3.6,3.2,UberEats,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000087,Happy Cafe,Vietnamese,Fusion,-33.86932655,151.20342324,SYDNEY,34,yes,4.6,4.1,"UberEats,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000088,Spicy Corner,Indian,Family,-33.92687024,151.18247327,MASCOT,13,yes,3.9,2.8,"Deliveroo,Menulog",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000089,Sizzle Table,Mediterranean,Cafe,-33.86336354,151.19496506,PYRMONT,35,yes,4.3,3.9,DoorDash,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000090,Lucky Grill,Thai,Cafe,-33.93016777,151.17262258,MASCOT,21,yes,4.3,3.5,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000091,Green Table,Vietnamese,Fine Dining,-33.92394737,151.20371587,ROSEBERY,41,yes,4.1,3.9,Menulog,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000092,Blue Fork,Modern Australian,Fusion,-33.86915251,151.24174839,DARLING POINT,13,yes,3.9,4.5,UberEats,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000093,Spicy Eatery,Mediterranean,Casual,-33.91344755,151.22552871,RANDWICK,12,yes,4.6,3.1,UberEats,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000094,Hidden House,Indian,Fusion,-33.91163791,151.18202711,ALEXANDRIA,24,no,4.4,4.4,"UberEats,Menulog,Deliveroo",Mon-Sun 07:00-21:00
R000095,Happy Bar,Thai,Street Food,-33.87058437,151.22982049,ELIZABETH BAY,40,no,5.0,4.0,"InHouse,Menulog",Mon-Sun 07:00-21:00
R000096,Green Garden,Indian,Bar,-33.90330368,151.16783161,MARRICKVILLE,57,yes,4.1,5.0,Menulog,Mon-Sun 10:00-22:00
R000097,Blue Table,Thai,Family,-33.90980703,151.17977871,ST PETERS,73,yes,4.3,4.0,UberEats,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000098,Hidden Spoon,Cafe,Takeaway,-33.89679283,151.16312545,STANMORE,21,yes,4.1,4.1,Menulog,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000099,Royal Deli,Vegetarian,Takeaway,-33.87633792,151.23852405,DOUBLE BAY,36,yes,3.9,4.4,DoorDash,Mon-Sun 10:00-22:00
R000100,Local Fork,Seafood,Cafe,-33.91373938,151.17339671,ST PETERS,30,no,4.4,4.7,"DoorDash,Deliveroo,Menulog",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000101,Sizzle House,Fast Food,Cafe,-33.87600376,151.23306543,DARLING POINT,55,yes,4.3,4.3,"Deliveroo,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000102,Golden Plate,Thai,Street Food,-33.88105429,151.23850688,EDGECLIFF,61,yes,3.6,4.2,Menulog,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000103,Sweet Plate,Korean,Fine Dining,-33.89192613,151.20052999,REDFERN,49,yes,3.6,4.7,Deliveroo,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000104,Blue Kitchen,Mexican,Takeaway,-33.91933055,151.15758251,MARRICKVILLE,21,yes,4.7,4.1,"Menulog,DoorDash,UberEats",Mon-Sun 07:00-21:00
R000105,Happy Table,Chinese,Family,-33.93561865,151.19101215,MASCOT,42,yes,4.5,3.7,"InHouse,UberEats",Mon-Sun 07:00-21:00
R000106,Local House,Italian,Takeaway,-33.91461252,151.18955812,ALEXANDRIA,29,yes,3.7,4.2,"Menulog,DoorDash,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000107,Red Spoon,Fast Food,Family,-33.88316899,151.20438688,HAYMARKET,33,yes,4.5,4.9,"Deliveroo,Menulog,InHouse",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000108,Cozy Garden,Vegetarian,Fine Dining,-33.95371475,151.17582603,MASCOT,39,no,4.0,4.4,"UberEats,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000109,Local Deli,Korean,Takeaway,-33.95064069,151.18368357,MASCOT,45,yes,4.4,3.2,UberEats,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000110,Blue Fork,Bakery,Family,-33.8708311,151.15349127,LILYFIELD,40,no,4.8,3.3,"UberEats,DoorDash",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000111,Royal Eatery,Mexican,Bar,-33.91888017,151.18327655,ALEXANDRIA,52,yes,3.9,4.2,"DoorDash,InHouse,Deliveroo",Mon-Sun 10:00-22:00
R000112,Urban Eatery,Mediterranean,Bar,-33.93004636,151.1838374,MASCOT,42,no,4.4,3.9,DoorDash,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000113,Local Kitchen,Thai,Cafe,-33.85724423,151.21493441,SYDNEY,20,yes,3.8,4.2,"Menulog,UberEats",Mon-Sun 07:00-21:00
R000114,Cozy House,Japanese,Street Food,-33.90302876,151.18815356,ERSKINEVILLE,14,yes,4.6,4.2,Menulog,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000115,Golden Grill,Mexican,Family,-33.86402926,151.21393388,SYDNEY,11,yes,3.8,3.6,"Deliveroo,Menulog",Mon-Sun 10:00-22:00
R000116,Lucky Grill,Seafood,Fusion,-33.91323981,151.15595833,MARRICKVILLE,28,no,4.4,4.0,Deliveroo,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000117,Cozy Fork,Korean,Bar,-33.92147785,151.17128024,ST PETERS,67,yes,5.0,3.4,InHouse,Mon-Sun 07:00-21:00
R000118,Urban Room,Chinese,Cafe,-33.92296265,151.22851252,KINGSFORD,12,yes,3.7,4.4,"InHouse,UberEats",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000119,Red Plate,Indian,Fusion,-33.92534758,151.20858921,EASTLAKES,26,yes,4.1,4.3,"Deliveroo,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000120,Silver Bistro,Mexican,Fusion,-33.86052123,151.17037087,ROZELLE,12,yes,3.4,4.2,"Menulog,Deliveroo",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000121,Silver Corner,Seafood,Fusion,-33.86522568,151.21537154,SYDNEY,47,yes,3.9,4.1,UberEats,Mon-Sun 10:00-22:00
R000122,Spicy Kitchen,Bakery,Family,-33.91592588,151.21269826,KENSINGTON,28,yes,3.4,4.3,Menulog,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000123,Urban Garden,Mediterranean,Casual,-33.90006353,151.20140056,WATERLOO,34,yes,4.4,3.8,"InHouse,Deliveroo",Mon-Sun 07:00-21:00
R000124,Royal Fork,Vegetarian,Fusion,-33.92281022,151.20811597,ROSEBERY,53,no,4.5,5.0,Deliveroo,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000125,Happy Nook,Bakery,Bar,-33.87944686,151.16747363,LILYFIELD,49,yes,3.9,4.8,DoorDash,Mon-Sun 07:00-21:00
R000126,Golden Kitchen,Fast Food,Fusion,-33.91486104,151.14003007,MARRICKVILLE,35,yes,4.1,2.7,"Menulog,InHouse",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000127,Green Deli,Mediterranean,Street Food,-33.88159988,151.20557339,HAYMARKET,52,yes,3.8,3.8,"DoorDash,UberEats",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000128,Royal Room,Bakery,Casual,-33.88318451,151.22839473,PADDINGTON,39,yes,5.0,4.0,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000129,Happy Grill,Mediterranean,Family,-33.93004031,151.19831305,MASCOT,41,yes,3.9,5.0,Deliveroo,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000130,Sweet Bar,Mexican,Bar,-33.88703925,151.1948073,CHIPPENDALE,35,yes,4.3,3.5,InHouse,Mon-Sun 10:00-22:00
R000131,Hidden Fork,Korean,Takeaway,-33.89518141,151.23284292,CENTENNIAL PARK,26,yes,3.8,3.7,Deliveroo,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000132,Salted Grill,Thai,Cafe,-33.88627826,151.17975157,CAMPERDOWN,24,no,4.0,4.6,InHouse,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000133,Red Plate,Fast Food,Fine Dining,-33.91904539,151.23868032,RANDWICK,44,yes,5.0,3.8,"Menulog,DoorDash",Mon-Sun 07:00-21:00
R000134,Sizzle Fork,Italian,Fusion,-33.94101464,151.18932919,MASCOT,65,yes,4.2,3.5,DoorDash,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000135,Golden Bistro,Cafe,Street Food,-33.93082072,151.16639297,MASCOT,52,yes,3.8,4.4,UberEats,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000136,Golden Fork,Thai,Bar,-33.88214198,151.19593497,ULTIMO,31,yes,4.5,3.8,"InHouse,Menulog",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000137,Urban Corner,Vegetarian,Street Food,-33.86626863,151.17332055,ROZELLE,31,yes,4.3,4.4,InHouse,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000138,Cozy House,Vietnamese,Takeaway,-33.93482268,151.20903116,EASTLAKES,38,yes,4.6,5.0,Menulog,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000139,Lucky Bar,Cafe,Casual,-33.90193292,151.17694847,NEWTOWN,29,yes,4.2,4.1,InHouse,Mon-Sun 07:00-21:00
R000140,Silver Nook,Modern Australian,Family,-33.91146587,151.17284129,ST PETERS,21,no,4.4,3.7,UberEats,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000141,Green Room,Italian,Takeaway,-33.88700799,151.15997821,LEICHHARDT,28,yes,5.0,3.9,"UberEats,InHouse",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000142,Sweet Deli,Italian,Family,-33.90104554,151.23247901,CENTENNIAL PARK,35,yes,5.0,3.8,"UberEats,DoorDash",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000143,Red Table,Italian,Family,-33.92667435,151.22010926,EASTLAKES,51,yes,3.9,3.4,"Menulog,UberEats",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000144,Spicy Cafe,Vietnamese,Family,-33.8980628,151.20629873,WATERLOO,27,yes,4.1,3.3,Deliveroo,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000145,Urban Room,Modern Australian,Casual,-33.87762176,151.1737604,ANNANDALE,59,no,4.5,3.3,"Menulog,Deliveroo,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000146,Sweet Corner,Bakery,Takeaway,-33.9078941,151.20553935,ZETLAND,9,yes,3.4,5.0,"Menulog,DoorDash",Mon-Sun 10:00-22:00
