year,suburb,category,total_count,avg_rating,avg_price_AUD,share_within_suburb
2015,DARLING POINT,Mediterranean,1,4.319,33.02,0.02702702702702703
2015,DARLING POINT,Mexican,6,3.953,21.73,0.16216216216216217
2015,DARLING POINT,Modern Australian,3,3.883,33.41,0.08108108108108109
2015,DARLING POINT,Seafood,3,4.033,31.62,0.08108108108108109
2015,DARLING POINT,Thai,2,4.248,25.36,0.05405405405405406
2015,DARLING POINT,Vegetarian,2,3.865,31.68,0.05405405405405406
2015,DARLING POINT,Vietnamese,1,4.1,9.24,0.02702702702702703
2015,DARLINGHURST,Bakery,5,4.1,40.53,0.15151515151515152
2015,DARLINGHURST,Bar,1,4.113,36.22,0.030303030303030304
2015,DARLINGHURST,Cafe,2,3.896,40.21,0.06060606060606061
2015,DARLINGHURST,Chinese,1,4.329,24.63,0.030303030303030304
2015,DARLINGHURST,Fast Food,2,3.699,17.89,0.06060606060606061
2015,DARLINGHURST,Indian,1,4.188,27.17,0.030303030303030304
2015,DARLINGHURST,Italian,4,3.867,32.53,0.12121212121212122
2015,DARLINGHURST,Japanese,1,4.029,37.25,0.030303030303030304
2015,DARLINGHURST,Korean,1,3.921,33.53,0.030303030303030304
2015,DARLINGHURST,Mediterranean,1,3.392,13.37,0.030303030303030304
2015,DARLINGHURST,Mexican,2,3.554,27.19,0.06060606060606061
2015,DARLINGHURST,Modern Australian,4,3.954,30.97,0.12121212121212122
2015,DARLINGHURST,Seafood,1,4.104,20.75,0.030303030303030304
2015,DARLINGHURST,Thai,3,4.083,38.18,0.09090909090909091
2015,DARLINGHURST,Vegetarian,1,3.495,28.2,0.030303030303030304
2015,DARLINGHURST,Vietnamese,3,3.849,30.99,0.09090909090909091
2015,DARLINGTON,Bakery,4,3.757,24.73,0.15384615384615385
2015,DARLINGTON,Cafe,2,4.076,12.7,0.07692307692307693
2015,DARLINGTON,Fast Food,1,4.514,16.61,0.038461538461538464
2015,DARLINGTON,Indian,1,4.068,17.95,0.038461538461538464
2015,DARLINGTON,Italian,1,3.562,15.45,0.038461538461538464
2015,DARLINGTON,Korean,1,3.993,23.81,0.038461538461538464
2015,DARLINGTON,Mediterranean,4,3.497,34.69,0.15384615384615385
2015,DARLINGTON,Modern Australian,5,3.851,34.15,0.19230769230769232
2015,DARLINGTON,Seafood,1,4.286,51.61,0.038461538461538464
2015,DARLINGTON,Thai,1,3.865,22.9,0.038461538461538464
2015,DARLINGTON,Vegetarian,1,3.675,29.88,0.038461538461538464
2015,DARLINGTON,Vietnamese,4,3.146,21.75,0.15384615384615385
2015,DAWES POINT,Bakery,2,3.514,50.29,0.2
2015,DAWES POINT,Cafe,1,3.877,31.09,0.1
2015,DAWES POINT,Chinese,2,3.797,8.78,0.2
2015,DAWES POINT,Indian,1,4.431,25.31,0.1
2015,DAWES POINT,Italian,1,2.928,36.07,0.1
2015,DAWES POINT,Mexican,1,4.145,8.77,0.1
2015,DAWES POINT,Seafood,1,3.992,45.33,0.1
2015,DAWES POINT,Vietnamese,1,3.819,44.93,0.1
2015,DOUBLE BAY,Bakery,1,3.4,35.63,0.024390243902439025
2015,DOUBLE BAY,Bar,5,3.777,25.38,0.12195121951219512
2015,DOUBLE BAY,Cafe,2,3.601,29.83,0.04878048780487805
2015,DOUBLE BAY,Chinese,2,4.017,46.34,0.04878048780487805
2015,DOUBLE BAY,Fast Food,1,4.58,39.7,0.024390243902439025
2015,DOUBLE BAY,Indian,1,3.858,38.27,0.024390243902439025
2015,DOUBLE BAY,Italian,1,3.324,45.4,0.024390243902439025
2015,DOUBLE BAY,Japanese,1,4.079,14.36,0.024390243902439025
2015,DOUBLE BAY,Korean,3,3.71,39.07,0.07317073170731707
2015,DOUBLE BAY,Mediterranean,4,4.196,26.66,0.0975609756097561
2015,DOUBLE BAY,Mexican,5,4.232,33.55,0.12195121951219512
2015,DOUBLE BAY,Modern Australian,3,3.688,21.94,0.07317073170731707
2015,DOUBLE BAY,Seafood,1,3.686,43.39,0.024390243902439025
2015,DOUBLE BAY,Thai,1,4.167,34.28,0.024390243902439025
2015,DOUBLE BAY,Vegetarian,4,4.41,32.22,0.0975609756097561
2015,DOUBLE BAY,Vietnamese,6,3.999,38.93,0.14634146341463414
2015,EASTLAKES,Bakery,1,3.905,19.87,0.013888888888888888
2015,EASTLAKES,Bar,3,3.885,24.78,0.041666666666666664
2015,EASTLAKES,Cafe,4,3.973,28.81,0.05555555555555555
2015,EASTLAKES,Chinese,1,3.678,28.43,0.013888888888888888
2015,EASTLAKES,Fast Food,5,3.931,26.63,0.06944444444444445
2015,EASTLAKES,Indian,11,3.775,30.36,0.1527777777777778
2015,EASTLAKES,Italian,3,3.992,31.22,0.041666666666666664
2015,EASTLAKES,Japanese,2,3.897,34.39,0.027777777777777776
2015,EASTLAKES,Korean,4,4.02,26.94,0.05555555555555555
2015,EASTLAKES,Mediterranean,5,3.913,34.42,0.06944444444444445
2015,EASTLAKES,Mexican,3,4.013,29.27,0.041666666666666664
2015,EASTLAKES,Modern Australian,2,3.442,26.93,0.027777777777777776
2015,EASTLAKES,Seafood,6,3.763,38.51,0.08333333333333333
2015,EASTLAKES,Thai,7,3.994,27.87,0.09722222222222222
2015,EASTLAKES,Vegetarian,5,4.157,25.52,0.06944444444444445
2015,EASTLAKES,Vietnamese,10,4.02,28.65,0.1388888888888889
2015,EDGECLIFF,Bakery,2,4.382,33.01,0.13333333333333333
2015,EDGECLIFF,Bar,1,4.13,8.45,0.06666666666666667
2015,EDGECLIFF,Chinese,1,3.942,65.6,0.06666666666666667
2015,EDGECLIFF,Fast Food,2,4.097,36.87,0.13333333333333333
2015,EDGECLIFF,Indian,1,3.972,8.93,0.06666666666666667
2015,EDGECLIFF,Italian,1,3.626,31.86,0.06666666666666667
2015,EDGECLIFF,Japanese,1,4.37,30.13,0.06666666666666667
2015,EDGECLIFF,Korean,1,3.972,39.12,0.06666666666666667
2015,EDGECLIFF,Mediterranean,1,3.806,21.81,0.06666666666666667
2015,EDGECLIFF,Mexican,2,3.52,26.99,0.13333333333333333
2015,EDGECLIFF,Thai,1,4.055,59.12,0.06666666666666667
2015,EDGECLIFF,Vietnamese,1,3.724,45.28,0.06666666666666667
2015,ELIZABETH BAY,Bakery,1,3.86,11.85,0.07142857142857142
2015,ELIZABETH BAY,Bar,1,4.119,29.13,0.07142857142857142
2015,ELIZABETH BAY,Chinese,1,3.593,46.47,0.07142857142857142
2015,ELIZABETH BAY,Fast Food,1,3.936,23.47,0.07142857142857142
2015,ELIZABETH BAY,Italian,3,4.034,29.7,0.21428571428571427
2015,ELIZABETH BAY,Japanese,1,4.029,39.45,0.07142857142857142
2015,ELIZABETH BAY,Korean,1,3.216,36.88,0.07142857142857142
2015,ELIZABETH BAY,Seafood,1,3.598,45.17,0.07142857142857142
2015,ELIZABETH BAY,Thai,2,4.179,26.85,0.14285714285714285
2015,ELIZABETH BAY,Vegetarian,1,4.684,23.26,0.07142857142857142
2015,ELIZABETH BAY,Vietnamese,1,3.566,11.95,0.07142857142857142
2015,ENMORE,Bakery,1,3.789,33.76,0.0625
2015,ENMORE,Cafe,3,4.246,33.01,0.1875
2015,ENMORE,Chinese,1,3.323,7.42,0.0625
2015,ENMORE,Fast Food,1,4.245,15.83,0.0625
2015,ENMORE,Korean,1,4.482,23.69,0.0625
2015,ENMORE,Mediterranean,1,4.398,33.43,0.0625
2015,ENMORE,Mexican,1,3.895,41.11,0.0625
2015,ENMORE,Modern Australian,1,4.23,25.69,0.0625
2015,ENMORE,Seafood,1,3.923,38.97,0.0625
2015,ENMORE,Thai,3,3.607,29.29,0.1875
2015,ENMORE,Vegetarian,1,3.925,15.92,0.0625
2015,ENMORE,Vietnamese,1,3.068,32.38,0.0625
2015,ERSKINEVILLE,Bakery,9,4.021,38.54,0.1956521739130435
2015,ERSKINEVILLE,Bar,1,3.491,46.0,0.021739130434782608
2015,ERSKINEVILLE,Cafe,2,3.881,19.71,0.043478260869565216
2015,ERSKINEVILLE,Fast Food,5,3.79,26.46,0.10869565217391304
2015,ERSKINEVILLE,Indian,4,3.807,30.73,0.08695652173913043
2015,ERSKINEVILLE,Italian,2,3.576,27.91,0.043478260869565216
2015,ERSKINEVILLE,Japanese,3,4.044,19.76,0.06521739130434782
2015,ERSKINEVILLE,Korean,1,3.752,16.03,0.021739130434782608
2015,ERSKINEVILLE,Mediterranean,2,3.845,49.53,0.043478260869565216
2015,ERSKINEVILLE,Mexican,3,3.765,33.41,0.06521739130434782
2015,ERSKINEVILLE,Modern Australian,1,3.742,40.89,0.021739130434782608
2015,ERSKINEVILLE,Seafood,1,3.307,8.96,0.021739130434782608
2015,ERSKINEVILLE,Thai,7,4.08,27.27,0.15217391304347827
2015,ERSKINEVILLE,Vegetarian,4,4.015,24.66,0.08695652173913043
2015,ERSKINEVILLE,Vietnamese,1,3.839,26.88,0.021739130434782608
2015,EVELEIGH,Bakery,1,3.396,20.17,0.0625
2015,EVELEIGH,Bar,1,3.676,13.44,0.0625
2015,EVELEIGH,Cafe,1,3.716,15.89,0.0625
2015,EVELEIGH,Chinese,1,3.939,26.83,0.0625
2015,EVELEIGH,Indian,2,3.834,42.98,0.125
2015,EVELEIGH,Italian,1,3.758,32.34,0.0625
2015,EVELEIGH,Japanese,1,3.681,10.05,0.0625
2015,EVELEIGH,Korean,1,3.242,7.93,0.0625
2015,EVELEIGH,Mediterranean,1,4.326,34.35,0.0625
2015,EVELEIGH,Mexican,1,4.085,17.57,0.0625
2015,EVELEIGH,Modern Australian,1,3.684,14.3,0.0625
2015,EVELEIGH,Seafood,1,3.309,29.37,0.0625
2015,EVELEIGH,Vegetarian,1,3.816,17.07,0.0625
2015,EVELEIGH,Vietnamese,2,2.887,21.45,0.125
2015,FOREST LODGE,Cafe,1,4.249,26.42,0.0625
2015,FOREST LODGE,Chinese,2,3.587,25.76,0.125
2015,FOREST LODGE,Fast Food,1,4.538,17.39,0.0625
2015,FOREST LODGE,Indian,1,4.146,53.66,0.0625
2015,FOREST LODGE,Italian,1,3.551,24.41,0.0625
2015,FOREST LODGE,Japanese,3,3.89,20.99,0.1875
2015,FOREST LODGE,Korean,1,4.052,20.52,0.0625
2015,FOREST LODGE,Mediterranean,1,3.992,18.18,0.0625
2015,FOREST LODGE,Mexican,1,3.945,27.29,0.0625
2015,FOREST LODGE,Modern Australian,3,4.093,14.9,0.1875
2015,FOREST LODGE,Thai,1,3.743,21.57,0.0625
2015,GLEBE,Bakery,8,3.963,33.18,0.1038961038961039
2015,GLEBE,Bar,4,4.144,29.06,0.05194805194805195
2015,GLEBE,Cafe,2,3.973,39.33,0.025974025974025976
2015,GLEBE,Chinese,2,3.709,27.5,0.025974025974025976
2015,GLEBE,Fast Food,8,4.183,32.74,0.1038961038961039
2015,GLEBE,Indian,1,4.164,16.39,0.012987012987012988
2015,GLEBE,Italian,11,3.86,35.37,0.14285714285714285
2015,GLEBE,Japanese,3,4.163,19.76,0.03896103896103896
2015,GLEBE,Korean,4,3.459,28.65,0.05194805194805195
2015,GLEBE,Mediterranean,8,3.903,35.49,0.1038961038961039
2015,GLEBE,Mexican,5,3.999,26.42,0.06493506493506493
2015,GLEBE,Modern Australian,3,4.018,31.44,0.03896103896103896
2015,GLEBE,Seafood,1,3.902,31.82,0.012987012987012988
2015,GLEBE,Thai,6,4.09,38.31,0.07792207792207792
2015,GLEBE,Vegetarian,5,3.637,24.69,0.06493506493506493
2015,GLEBE,Vietnamese,6,3.924,27.47,0.07792207792207792
2015,HAYMARKET,Bakery,1,4.308,32.47,0.04
2015,HAYMARKET,Bar,1,3.945,28.61,0.04
2015,HAYMARKET,Cafe,4,3.955,26.78,0.16
2015,HAYMARKET,Chinese,1,3.765,26.09,0.04
2015,HAYMARKET,Fast Food,3,4.158,23.56,0.12
2015,HAYMARKET,Indian,2,3.629,14.0,0.08
2015,HAYMARKET,Italian,1,3.848,23.23,0.04
2015,HAYMARKET,Japanese,1,3.946,25.5,0.04
2015,HAYMARKET,Korean,1,3.336,30.31,0.04
2015,HAYMARKET,Mediterranean,1,3.525,23.07,0.04
2015,HAYMARKET,Mexican,1,4.445,31.65,0.04
2015,HAYMARKET,Modern Australian,1,3.877,36.11,0.04
2015,HAYMARKET,Seafood,2,3.69,20.14,0.08
2015,HAYMARKET,Thai,3,3.727,19.91,0.12
2015,HAYMARKET,Vegetarian,1,3.903,29.57,0.04
2015,HAYMARKET,Vietnamese,1,3.793,17.09,0.04
2015,KENSINGTON,Bakery,4,3.898,36.29,0.03508771929824561
2015,KENSINGTON,Bar,4,4.204,34.57,0.03508771929824561
2015,KENSINGTON,Cafe,4,4.063,23.4,0.03508771929824561
2015,KENSINGTON,Chinese,11,3.686,30.69,0.09649122807017543
2015,KENSINGTON,Fast Food,16,3.577,40.06,0.14035087719298245
2015,KENSINGTON,Indian,7,3.866,27.15,0.06140350877192982
2015,KENSINGTON,Italian,7,4.123,27.06,0.06140350877192982
2015,KENSINGTON,Japanese,4,3.607,26.76,0.03508771929824561
2015,KENSINGTON,Korean,6,4.002,27.94,0.05263157894736842
2015,KENSINGTON,Mediterranean,8,3.97,30.49,0.07017543859649122
2015,KENSINGTON,Mexican,6,3.571,31.39,0.05263157894736842
2015,KENSINGTON,Modern Australian,9,3.918,32.51,0.07894736842105263
2015,KENSINGTON,Seafood,3,3.817,23.14,0.02631578947368421
2015,KENSINGTON,Thai,6,4.012,36.49,0.05263157894736842
2015,KENSINGTON,Vegetarian,5,3.75,28.67,0.043859649122807015
2015,KENSINGTON,Vietnamese,14,4.289,30.56,0.12280701754385964
2015,KINGSFORD,Bakery,4,3.918,27.07,0.0625
2015,KINGSFORD,Bar,4,4.086,31.86,0.0625
2015,KINGSFORD,Cafe,1,3.804,35.52,0.015625
2015,KINGSFORD,Chinese,7,3.902,29.04,0.109375
2015,KINGSFORD,Fast Food,2,3.791,20.34,0.03125
2015,KINGSFORD,Indian,4,4.111,27.52,0.0625
2015,KINGSFORD,Italian,8,3.784,31.28,0.125
2015,KINGSFORD,Japanese,6,4.222,27.32,0.09375
2015,KINGSFORD,Korean,4,3.449,28.82,0.0625
2015,KINGSFORD,Mediterranean,4,3.887,25.81,0.0625
2015,KINGSFORD,Mexican,1,3.821,25.45,0.015625
2015,KINGSFORD,Modern Australian,1,3.389,26.47,0.015625
2015,KINGSFORD,Seafood,3,3.887,39.39,0.046875
2015,KINGSFORD,Thai,6,3.792,28.95,0.09375
2015,KINGSFORD,Vegetarian,1,3.988,27.18,0.015625
2015,KINGSFORD,Vietnamese,8,3.904,29.34,0.125
2015,KIRRIBILLI,Bakery,1,2.809,11.78,0.05555555555555555
2015,KIRRIBILLI,Bar,2,3.982,26.43,0.1111111111111111
2015,KIRRIBILLI,Cafe,2,3.73,29.55,0.1111111111111111
2015,KIRRIBILLI,Chinese,1,3.765,42.98,0.05555555555555555
2015,KIRRIBILLI,Fast Food,1,4.311,34.84,0.05555555555555555
2015,KIRRIBILLI,Indian,1,3.599,26.69,0.05555555555555555
2015,KIRRIBILLI,Italian,1,3.667,17.2,0.05555555555555555
2015,KIRRIBILLI,Korean,1,3.483,34.75,0.05555555555555555
2015,KIRRIBILLI,Mediterranean,1,4.265,30.69,0.05555555555555555
2015,KIRRIBILLI,Mexican,1,3.426,62.46,0.05555555555555555
2015,KIRRIBILLI,Modern Australian,2,4.096,22.4,0.1111111111111111
2015,KIRRIBILLI,Seafood,1,3.761,41.01,0.05555555555555555
2015,KIRRIBILLI,Thai,1,3.619,31.66,0.05555555555555555
2015,KIRRIBILLI,Vegetarian,1,3.631,23.73,0.05555555555555555
2015,KIRRIBILLI,Vietnamese,1,3.236,14.45,0.05555555555555555
2015,LEICHHARDT,Bakery,11,3.757,25.56,0.10891089108910891
2015,LEICHHARDT,Bar,7,3.993,29.2,0.06930693069306931
2015,LEICHHARDT,Cafe,4,3.746,37.66,0.039603960396039604
2015,LEICHHARDT,Chinese,7,3.694,28.14,0.06930693069306931
2015,LEICHHARDT,Fast Food,4,3.927,19.86,0.039603960396039604
2015,LEICHHARDT,Indian,11,3.739,20.88,0.10891089108910891
2015,LEICHHARDT,Italian,12,3.961,30.03,0.1188118811881188
2015,LEICHHARDT,Japanese,1,3.731,25.61,0.009900990099009901
2015,LEICHHARDT,Korean,13,4.016,29.28,0.12871287128712872
2015,LEICHHARDT,Mediterranean,2,3.909,17.47,0.019801980198019802
2015,LEICHHARDT,Mexican,6,3.558,31.23,0.0594059405940594
2015,LEICHHARDT,Modern Australian,6,3.959,24.87,0.0594059405940594
2015,LEICHHARDT,Seafood,5,4.402,30.25,0.04950495049504951
2015,LEICHHARDT,Thai,4,3.699,28.67,0.039603960396039604
2015,LEICHHARDT,Vegetarian,6,3.857,33.44,0.0594059405940594
2015,LEICHHARDT,Vietnamese,2,3.935,20.14,0.019801980198019802
2015,LILYFIELD,Bakery,5,3.937,33.3,0.060240963855421686
2015,LILYFIELD,Bar,8,4.246,27.22,0.0963855421686747
2015,LILYFIELD,Cafe,4,4.027,30.97,0.04819277108433735
2015,LILYFIELD,Chinese,5,4.045,27.13,0.060240963855421686
2015,LILYFIELD,Fast Food,9,4.19,30.59,0.10843373493975904
2015,LILYFIELD,Indian,5,4.0,38.94,0.060240963855421686
2015,LILYFIELD,Italian,5,3.916,35.07,0.060240963855421686
2015,LILYFIELD,Japanese,3,3.876,28.74,0.03614457831325301
2015,LILYFIELD,Korean,4,3.706,25.64,0.04819277108433735
2015,LILYFIELD,Mediterranean,8,3.851,37.73,0.0963855421686747
2015,LILYFIELD,Mexican,4,3.992,25.4,0.04819277108433735
2015,LILYFIELD,Modern Australian,4,3.981,24.59,0.04819277108433735
2015,LILYFIELD,Seafood,5,4.032,27.05,0.060240963855421686
2015,LILYFIELD,Thai,2,3.757,31.04,0.024096385542168676
2015,LILYFIELD,Vegetarian,7,3.645,30.98,0.08433734939759036
2015,LILYFIELD,Vietnamese,5,3.996,24.69,0.060240963855421686
2015,MARRICKVILLE,Bakery,18,3.974,26.63,0.09574468085106383
2015,MARRICKVILLE,Bar,11,3.935,27.6,0.05851063829787234
2015,MARRICKVILLE,Cafe,15,4.014,23.4,0.0797872340425532
2015,MARRICKVILLE,Chinese,8,3.81,25.94,0.0425531914893617
2015,MARRICKVILLE,Fast Food,8,3.861,26.01,0.0425531914893617
2015,MARRICKVILLE,Indian,13,4.238,28.42,0.06914893617021277
